Run	Sample Characteristic[block]	Sample Characteristic Ontology Term[block]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[individual]	Sample Characteristic Ontology Term[individual]	Sample Characteristic[karyotype]	Sample Characteristic Ontology Term[karyotype]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[sampling site]	Sample Characteristic Ontology Term[sampling site]	Factor Value[developmental stage]	Factor Value Ontology Term[developmental stage]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Analysed
ERR1472952	sequencing batch:FC2014_038		Carnegie Stage 23		11826		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	right	http://www.ebi.ac.uk/efo/EFO_0001659	Carnegie Stage 23		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472953	sequencing batch:FC2014_038		Carnegie Stage 23		11827		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	left	http://www.ebi.ac.uk/efo/EFO_0001658	Carnegie Stage 23		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472954	sequencing batch:FC2014_038		Carnegie Stage 23		11827		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	right	http://www.ebi.ac.uk/efo/EFO_0001659	Carnegie Stage 23		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472955	sequencing batch:FC2014_030		Carnegie Stage 23		11846		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	left	http://www.ebi.ac.uk/efo/EFO_0001658	Carnegie Stage 23		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472956	sequencing batch:FC2014_030		Carnegie Stage 23		11846		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	right	http://www.ebi.ac.uk/efo/EFO_0001659	Carnegie Stage 23		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472957	sequencing batch:FC2014_030		Carnegie Stage 23		11918		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	left	http://www.ebi.ac.uk/efo/EFO_0001658	Carnegie Stage 23		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472958	sequencing batch:FC2014_030		Carnegie Stage 23		11918		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	right	http://www.ebi.ac.uk/efo/EFO_0001659	Carnegie Stage 23		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472959	sequencing batch:FC2014_035		Carnegie Stage 22		11831		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	left	http://www.ebi.ac.uk/efo/EFO_0001658	Carnegie Stage 22		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472960	sequencing batch:FC2014_032		Carnegie Stage 22		11831		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	right	http://www.ebi.ac.uk/efo/EFO_0001659	Carnegie Stage 22		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472961	sequencing batch:FC2014_043, FC2014_117		9 post conception weeks		11845		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	right	http://www.ebi.ac.uk/efo/EFO_0001659	9 post conception weeks		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
